  ,トップ1割,Q1,Q2,Q2,Q2,Q2,Q2,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q4,Q4,Q5,Q6,Q7,Q8,Q8,F1,F1,F2,F2,F3,F4,F5,F5,F6,F7,Q9,Q9,Q10,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19-1,Q19-2,Q19-3,Q19-4,Q19-5,Q20,Q20,Q21,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30-1,Q30-2,Q30-3,Q30-4,Q30-5,Q30-6,Q30-7,Q31,Q31,Q32,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41-1,Q41-2,Q41-3,Q41-4,Q41-5
,,日本産の酒類を飲んだことがありますか？,日本酒を飲んだことがありますか？,日本産ビールを飲んだことがありますか？,日本産のウイスキーを飲んだことがありますか？,日本産のリキュールを飲んだことがありますか？,日本産の焼酎を飲んだことがありますか？,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,飲んだことがある日本産酒類の名前を教えてください。,日本産酒類の中で最も好きな商品はなんですか？,日本産酒類の中で最も好きな商品はなんですか？,【頻度】お酒を飲む頻度はどれくらいですか？（日本産に限らず酒類全般）,【金額】月における酒類に対する支出額はいくらですか？（日本産に限らず酒類全般）,【金額】月における”日本産の酒類”に対する支出額はいくらですか？,【場所】日本産酒類を主にどこで購入しますか？,【場所】日本産酒類を主にどこで購入しますか？,性別,性別,人種,人種,年齢,世帯人数,職業,職業,年収,世帯収入（年）,【接点】日本産ビールをどこで知りましたか？,【接点】日本産ビールをどこで知りましたか？,日本産ビールを飲んだきっかけはなんですか？,日本産ビールを飲んだきっかけはなんですか？,【頻度】日本産ビールを飲む頻度はどれくらいですか？,前回日本産ビールを飲んだのはいつですか？,"【総合評価】日本産ビールの ""総合評価"" は何点ですか？（100点満点）","【期待値】日本産ビールを飲む以前の、日本産ビールに対する ""期待値"" は何点でしたか？（100点満点）",【品質】日本産ビールの ”品質” は何点ですか？（100点満点）,"【価値】日本産ビールの ""価値"" は何点ですか？（100点満点）",【推奨度】日本産ビールの推奨度は何点ですか？（100点満点）,【再購買意欲】日本産ビールをもう一度飲みたいと思う度合いは何点ですか？（100点満点）,"ビールの ""苦味"" はどれくらい好きですか？（100点満点）","ビールの ""甘味"" はどれくらい好きですか？（100点満点）","ビールの ""酸味"" はどれくらい好きですか？（100点満点）","ビールの ""コク"" はどれくらい好きですか？（100点満点）","ビールの ""キレ"" はどれくらい好きですか？（100点満点）",【接点】日本酒をどこで知りましたか？,【接点】日本酒をどこで知りましたか？,日本酒を飲んだきっかけはなんですか？,日本酒を飲んだきっかけはなんですか？,【頻度】日本酒を飲む頻度はどれくらいですか？,前回日本酒を飲んだのはいつですか？,"【総合評価】日本酒の ""総合評価"" は何点ですか？（100点満点）","【期待値】日本酒を飲む以前の、日本酒に対する ""期待値"" は何点でしたか？（100点満点）",【品質】日本酒の ”品質” は何点ですか？（100点満点）,"【価値】日本酒の ""価値"" は何点ですか？（100点満点）",【推奨度】日本酒の推奨度は何点ですか？（100点満点）,【再購買意欲】日本酒をもう一度飲みたいと思う度合いは何点ですか？（100点満点）,"日本酒の ""辛口"" はどれくらい好きですか？（100点満点）","日本酒の ""甘口"" はどれくらい好きですか？（100点満点）","日本酒の ""強い香り"" はどれくらい好きですか？（100点満点）","日本酒の ""淡い香り"" はどれくらい好きですか？（100点満点）","日本酒の ""酸味"" はどれくらい好きですか？（100点満点）","日本酒の ""スッキリ感"" はどれくらい好きですか？（100点満点）","日本酒の ""コク"" はどれくらい好きですか？（100点満点）",【接点】日本産ウィスキーをどこで知りましたか？,【接点】日本産ウィスキーをどこで知りましたか？,日本産ウィスキーを飲んだきっかけはなんですか？,日本産ウィスキーを飲んだきっかけはなんですか？,【頻度】日本産ウィスキーを飲む頻度はどれくらいですか？,前回日本産ウィスキーを飲んだのはいつですか？,"【総合評価】日本産ウィスキーの ""総合評価"" は何点ですか？（100点満点）","【期待値】日本産ウィスキーを飲む以前の、日本産ウィスキーに対する ""期待値"" は何点でしたか？（100点満点）",【品質】日本産ウィスキーの ”品質” は何点ですか？（100点満点）,"【価値】日本産ウィスキーの ""価値"" は何点ですか？（100点満点）",【推奨度】日本産ウィスキーの推奨度は何点ですか？（100点満点）,【再購買意欲】日本産ウィスキーをもう一度飲みたいと思う度合いは何点ですか？（100点満点）,"日本産ウィスキーの ""スッキリ感"" はどれくらい好きですか？（100点満点）","日本産ウィスキーの ""まろやか感"" はどれくらい好きですか？（100点満点）","日本産ウィスキーの ""キレ"" はどれくらい好きですか？（100点満点）","日本産ウィスキーの ""どっしりとして味わい"" はどれくらい好きですか？（100点満点）","日本産ウィスキーの ""強い香り"" はどれくらい好きですか？（100点満点）"
,,,Sake,Beer,Whisky,Liqueur,Shochu,Dassai,Juyondai,Kuheiji,Aramasa,Jozen,sake-other,Kirin,Asahi,Sapporo,Hitachino,Coedo,beer-other,Hakushu,Hibiki,Taketsuru,Yoichi,Yamasaki,whisky-other,Choya plum wine,Midori Lemon Liquor,liquor-other,Torikai,Nakanaka,Kirishima,Murao,Iichiko,shochu-other,,Other,,,,,Other,,Others,,Others,,,,Others,,,,Others,,Others,,,,,,,,,,,,,,,Others,,Others,,,,,,,,,,,,,,,,,Others,,Others,,,,,,,,,,,,,
2,0,Yes,No,Yes,No,Yes,No,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,アサヒビール,,週に2〜3回,100,5,酒類販売店（コンビニ含む）,,男性,,白人,,46,1,IT・ビジネス関連,,$81~$100K,$81~$100K,日本料理店,,友人からの勧め,,月に1〜4回,1か月以内,80,50,80,75,80,100,80,0,80,60,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0,Yes,Yes,Yes,No,Yes,No,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,無回答,,,,,,,男性,,混血,,36,1,宿泊業・飲食サービス,,$21~$40K,$21~$40K,日本料理店,,日本料理店での注文,,1年に1回未満,3年以上前,90,50,70,90,90,80,40,60,60,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,Yes,Yes,Yes,No,No,No,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,キリンビール,,月に1〜4回,100,0,日本料理店,,男性,,白人,,53,1,フリーランス,,$41~$60K,$41~$60K,日本料理店,,友人からの勧め,,3か月に1回,2か月以内,85,75,85,85,85,75,50,50,75,75,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0,Yes,Yes,Yes,No,No,No,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,無回答,,,,,,,女性,,白人,,45,3,金融・保険,,$81~$100K,$151~$200K,,,,,3か月に1回,2か月以内,90,50,90,90,90,100,50,100,50,100,75,その他,gift from friend,友人からの勧め,,1年に1回,1年以内,70,50,90,90,90,70,70,90,90,30,30,70,90,,,,,,,,,,,,,,,,,
13,0,Yes,Yes,Yes,No,No,No,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,サッポロビール,,月に1回以下,50,10,日本料理店,,男性,,白人,,34,3,IT・ビジネス関連,,$81~$100K,$101~$150K,日本料理店,,日本料理店での注文,,6か月に1回,3年以上前,90,90,90,100,100,90,70,80,80,90,100,日本料理店,,日本料理店での注文,,6か月に1回,3年以上前,90,90,90,100,100,90,100,80,70,80,90,90,100,,,,,,,,,,,,,,,,,
14,0,Yes,Yes,No,No,No,No,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,新政,,週に2〜3回,25,12,その他,grocery store,男性,,ヒスパニック,,77,1,退職者,,$0~$20K,$0~$20K,,,,,,,,,,,,,,,,,,その他,Movies,自ら購入,,週に2〜3回,3年以上前,75,80,75,75,75,100,75,40,75,75,75,75,50,,,,,,,,,,,,,,,,,
15,0,Yes,Yes,Yes,Yes,No,No,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,無回答,,月に1回以下,45,7,日本料理店,,男性,,白人,,,4,IT・ビジネス関連,,,,日本料理店,,日本料理店での注文,,3か月に1回,6か月以内,80,60,80,80,90,90,40,40,40,80,80,日本料理店,,日本料理店での注文,,1年に1回未満,3年以内,70,60,80,70,70,60,80,60,60,80,50,80,80,日本料理店,,日本料理店での注文,,1年に1回,1年以内,80,50,80,80,90,100,70,90,80,70,90
16,0,Yes,No,No,No,No,Yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,その他,,月に1回以下,15,0,,friends,女性,,白人,,24,2,開発,,$0~$20K,$0~$20K,,,,,,,,,,,,,,,,,,,,,,1年に1回未満,6か月以内,75,70,75,75,70,50,70,70,60,75,70,60,75,,,,,,,,,,,,,,,,,
17,0,Yes,Yes,Yes,No,No,Yes,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,チョウヤ梅酒,,月に1回以下,10,0,日本料理店,,男性,,白人,,34,9,IT・ビジネス関連,,$101~$150K,$151~$200K,その他,Japan,その他,Japan,6か月に1回,6か月以内,90,50,90,80,80,80,70,80,60,80,80,その他,JAPAN,その他,JAPAN,1年に1回未満,3年以内,70,50,90,90,70,55,70,70,40,60,30,70,80,,,,,,,,,,,,,,,,,
18,1,Yes,Yes,Yes,No,No,Yes,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,上善如水,,月に1〜4回,200,40,日本料理店,,男性,,白人,,28,7,建設業,,$61~$80K,$81~$100K,,,自ら購入,,月に1〜4回,1か月以内,90,70,70,70,80,90,90,40,60,80,90,日本料理店,,自ら購入,,月に1〜4回,2か月以内,90,80,90,90,95,100,100,75,80,65,75,80,100,,,,,,,,,,,,,,,,,
19,0,Yes,Yes,No,No,No,No,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,上善如水,,月に1〜4回,30,10,日本料理店,,男性,,混血,,30,1,建設業,,$21~$40K,$21~$40K,,,,,,,,,,,,,,,,,,日本料理店,,日本料理店以外での注文,,6か月に1回,3年以上前,85,50,85,80,90,70,90,60,60,90,80,75,80,,,,,,,,,,,,,,,,,
20,0,Yes,Yes,Yes,No,No,No,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,無回答,,月に1〜4回,15,5,日本料理店,,女性,,白人,,53,1,宿泊業・飲食サービス,,$0~$20K,$0~$20K,日本料理店,,,,3か月に1回,2か月以内,70,50,70,80,70,80,40,70,50,70,80,日本料理店,,,,3か月に1回,6か月以内,90,70,90,90,90,90,60,70,70,60,50,80,50,,,,,,,,,,,,,,,,,
21,0,Yes,Yes,Yes,No,No,No,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,サッポロビール,,週に2〜3回,100,0,日本料理店,,男性,,白人,,30,1,IT・ビジネス関連,,$81~$100K,$81~$100K,,,日本料理店での注文,,3か月に1回,2か月以内,85,,85,,50,100,100,50,50,80,80,日本料理店,,,,6か月に1回,1年以内,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,Yes,Yes,Yes,Yes,Yes,Yes,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,無回答,,週に2〜3回,150,0,日本料理店,,男性,,白人,,38,,テクノロジー,,$41~$60K,$41~$60K,日本料理店,,友人からの勧め,,1年に1回未満,3年以上前,85,75,85,80,90,100,90,70,90,80,100,日本料理店,,友人からの勧め,,1年に1回未満,3年以上前,100,75,100,100,100,100,100,90,95,80,80,90,100,日本料理店,,友人からの勧め,,1年に1回未満,3年以上前,75,50,85,85,77,85,90,90,80,80,90
23,1,Yes,Yes,Yes,Yes,Yes,No,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,無回答,,週に4〜6回,500,20,日本料理店,,女性,,白人,,29,2,,,$21~$40K,,日本料理店,,,,3か月に1回,2か月以内,90,90,90,90,90,100,100,10,80,80,50,,,,,,,,,,,,,,,,,,,,口コミ,,友人からの勧め,,1年に1回,3年以内,100,100,100,100,100,100,100,100,100,100,100
24,0,Yes,Yes,Yes,Yes,Yes,Yes,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,無回答,,週に2〜3回,400,0,,,女性,,白人,,28,5,IT・ビジネス関連,,$81~$100K,$201~$250K,,,,,6か月に1回,1か月以内,70,,100,100,100,100,70,80,60,80,70,,,,,1年に1回,1年以内,100,100,100,100,100,100,100,100,100,100,100,100,100,,,日本料理店での注文,,1年に1回未満,3年以上前,90,50,80,,,100,100,100,0,100,0
25,1,Yes,Yes,Yes,Yes,No,No,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,サッポロビール,,月に1〜4回,400,30,,,女性,,混血,,28,4,宿泊業・飲食サービス,,$41~$60K,$41~$60K,日本料理店,,日本料理店での注文,,月に1〜4回,1か月以内,90,70,80,90,100,100,70,50,80,30,70,日本料理店,,日本料理店での注文,,月に1〜4回,1か月以内,100,,100,90,100,100,100,90,50,90,70,50,90,,,友人からの勧め,,6か月に1回,1か月以内,100,80,90,90,90,100,90,80,70,70,50
26,1,Yes,Yes,Yes,No,No,No,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,サッポロビール,,毎日,500,20,日本料理店,,女性,,白人,,28,5,宿泊業・飲食サービス,,$41~$60K,$151~$200K,日本料理店,,日本料理店での注文,,3か月に1回,,70,60,85,85,90,90,90,0,0,70,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0,Yes,Yes,Yes,Yes,No,No,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,無回答,,週に4〜6回,100,15,,,女性,,白人,,26,2,農業・林業,,$41~$60K,$81~$100K,,,,,6か月に1回,2か月以内,60,50,60,90,60,50,90,20,100,80,90,,,,,3か月に1回,1か月以内,90,30,90,100,80,90,90,30,30,90,95,90,100,,,,,,,,,,,,,,,,,
28,0,Yes,Yes,Yes,No,No,No,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,その他,some sake,月に1〜4回,100,15,日本料理店,,女性,,白人,,25,5,農業・林業,,$41~$60K,$41~$60K,,,日本料理店での注文,,週に2〜3回,2か月以内,100,75,100,100,100,100,45,10,15,0,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0,Yes,Yes,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,獺祭,4,月に1回以下,4,2,,,女性,,白人,,27,,,,,,,,,,,,,,,,,,,,,,,日本料理店,,自ら購入,,1年に1回未満,1年以内,70,60,80,75,70,70,60,40,55,70,60,65,55,,,,,,,,,,,,,,,,,
30,0,Yes,No,Yes,No,No,No,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,アサヒビール,,週に2〜3回,30,10,日本料理店,,男性,,,,,,,,,,日本料理店,,日本料理店での注文,,1年に1回未満,1年以内,70,60,75,70,70,60,80,50,60,60,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0,Yes,Yes,No,No,No,No,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,その他,hot sake,月に1〜4回,25,10,日本料理店,,女性,,黒人,,30,1,その他,,$101~$150K,$101~$150K,,,,,,,,,,,,,,,,,,日本料理店,,日本料理店での注文,,月に1〜4回,1か月以内,90,70,90,90,100,100,100,90,100,100,50,100,100,,,,,,,,,,,,,,,,,
32,0,Yes,Yes,Yes,No,No,No,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,十四代,,週に2〜3回,10,5,日本料理店,,女性,,,,,,,,,,,,,,,,,,,,,,,,,,,日本料理店,,日本料理店での注文,,3か月に1回,6か月以内,100,80,100,100,100,100,100,80,100,80,100,90,100,,,,,,,,,,,,,,,,,
33,0,Yes,Yes,Yes,Yes,Yes,Yes,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,アサヒビール,,週に2〜3回,12,12,その他,grocery store,女性,,混血,,59,1,教育関連,,$21~$40K,$21~$40K,,,,,月に1〜4回,1年以内,95,90,95,90,95,95,95,30,80,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1,Yes,Yes,Yes,No,No,No,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,上善如水,,月に1〜4回,120,50,,,男性,,白人,,37,3,フリーランス,,$61~$80K,$61~$80K,,,,,,,,,,,,,,,,,,,,日本料理店での注文,,3か月に1回,6か月以内,95,80,100,95,90,100,95,95,80,98,85,100,100,,,,,,,,,,,,,,,,,
40,1,Yes,Yes,Yes,Yes,Yes,Yes,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,鳥飼,,月に1〜4回,87,22,酒類販売店（コンビニ含む）,,女性,,アジア人,,48,3,宿泊業・飲食サービス,,$81~$100K,$151~$200K,その他,,その他,,6か月に1回,6か月以内,70,50,80,80,100,50,50,70,60,70,60,その他,,友人からの勧め,,月に1〜4回,1か月以内,100,100,100,100,100,100,80,100,100,100,80,80,100,日本料理店,,友人からの勧め,,月に1〜4回,2か月以内,70,80,80,80,80,70,70,80,70,80,70
41,0,Yes,No,No,No,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,鳥飼,,月に1回以下,0,0,日本料理店,,ノンバイナリー,,ヒスパニック,,21,4,アート,,$0~$20K,$0~$20K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1,Yes,Yes,Yes,No,No,No,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,無回答,,週に2〜3回,50,20,,,女性,,白人,,50,2,教育関連,,$61~$80K,$151~$200K,日本料理店,,,,3か月に1回,1か月以内,85,80,85,100,100,100,50,50,0,50,50,,,,,6か月に1回,6か月以内,80,80,90,75,100,100,80,90,80,90,0,90,90,,,,,,,,,,,,,,,,,
43,0,Yes,Yes,Yes,Yes,Yes,No,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,チョウヤ梅酒,,週に2〜3回,30,2,,asian grocery store,女性,,白人,,25,5,学生,,$21~$40K,$21~$40K,,,日本料理店での注文,,1年に1回,3年以内,80,80,80,80,80,80,100,90,90,70,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,Yes,Yes,Yes,No,No,No,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,無回答,,月に1回以下,20,,,,男性,,アジア人,,47,3,,,$101~$150K,$151~$200K,酒類販売店,,,,6か月に1回,6か月以内,80,80,90,100,70,70,80,70,70,70,80,日本料理店,,自ら購入,,1年に1回未満,2か月以内,90,80,100,100,100,100,80,100,100,100,90,100,100,,,,,,,,,,,,,,,,,
45,0,Yes,Yes,Yes,No,Yes,No,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,その他,,週に2〜3回,100,0,日本料理店,,女性,,混血,,37,3,不動産業,,$81~$100K,$81~$100K,口コミ,,,,6か月に1回,6か月以内,85,50,85,80,75,100,40,80,20,85,85,,,,,6か月に1回,1年以内,80,50,90,75,100,100,40,60,30,70,30,60,90,,,,,,,,,,,,,,,,,
46,0,Yes,Yes,No,No,No,No,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,新政,,月に1〜4回,50,17,日本料理店,,男性,,白人,,34,1,,,$61~$80K,$61~$80K,,,,,,,,,,,,,,,,,,,,日本料理店での注文,,月に1〜4回,2か月以内,99,75,100,100,100,100,99,100,100,99,99,100,100,,,,,,,,,,,,,,,,,
47,0,Yes,Yes,Yes,Yes,Yes,No,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,キリンビール,,月に1〜4回,30,17,酒類販売店（コンビニ含む）,,男性,,白人,,70,3,定年退職,,$21~$40K,$0~$20K,日本料理店,,その他,cook book,月に1〜4回,1か月以内,100,100,100,100,100,100,100,50,75,75,100,TV番組,,友人からの勧め,,月に1〜4回,1か月以内,100,100,100,100,100,100,75,80,100,50,30,100,100,TV番組,,友人からの勧め,,3か月に1回,2か月以内,80,60,80,75,75,100,75,100,100,75,100
48,0,Yes,Yes,No,No,No,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,十四代,,月に1回以下,30,0,日本料理店,,女性,,白人,,27,4,教育関連,,$21~$40K,$81~$100K,,,,,,,,,,,,,,,,,,日本料理店,,日本料理店での注文,,6か月に1回,1か月以内,90,50,90,90,50,100,90,100,90,90,80,90,90,,,,,,,,,,,,,,,,,
49,0,Yes,Yes,No,No,No,No,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,その他,,月に1〜4回,50,10,日本料理店,,女性,,ヒスパニック,,25,5,農業・林業,,$0~$20K,$0~$20K,,,,,,,,,,,,,,,,,,日本料理店,,友人からの勧め,,6か月に1回,6か月以内,80,90,95,100,90,60,,70,50,60,70,90,100,,,,,,,,,,,,,,,,,
53,0,Yes,Yes,Yes,No,No,No,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,その他,,月に1回以下,350,0,酒類販売店（コンビニ含む）,,男性,,ヒスパニック,,26,7,宿泊業・飲食サービス,,$21~$40K,$21~$40K,その他,,その他,,1年に1回未満,3年以上前,60,85,70,80,90,100,65,40,80,70,45,その他,,その他,,1年に1回未満,3年以上前,90,90,80,70,100,100,60,72,55,,10,70,45,,,,,,,,,,,,,,,,,
54,0,Yes,No,Yes,No,No,No,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,キリンビール,,月に1〜4回,50,0,日本料理店,,女性,,アジア人,,39,5,医療関係,,$21~$40K,$21~$40K,日本料理店,,友人からの勧め,,1年に1回未満,6か月以内,99,95,100,95,100,100,99,99,99,99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,0,Yes,No,Yes,No,No,No,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,無回答,,月に1回以下,5,0,日本料理店,,女性,,白人,,39,2,医療関係,,$61~$80K,$101~$150K,日本料理店,,日本料理店での注文,,1年に1回未満,3年以内,20,20,20,20,20,5,0,20,0,90,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
