  ,トップ1割,Q1,Q2,Q2,Q2,Q2,Q2,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q3,Q4,Q4,Q5,Q6,Q7,Q8,Q8,F1,F1,F2,F2,F3,F4,F5,F5,F6,F7,Q9,Q9,Q10,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19-1,Q19-2,Q19-3,Q19-4,Q19-5,Q20,Q20,Q21,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30-1,Q30-2,Q30-3,Q30-4,Q30-5,Q30-6,Q30-7,Q31,Q31,Q32,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41-1,Q41-2,Q41-3,Q41-4,Q41-5
60,0,Yes,Yes,Yes,No,No,No,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,サッポロビール,,週に2〜3回,40,0,日本料理店,,男性,,白人,,40,4,IT・ビジネス関連,,$201~$250K,$201~$250K,日本料理店,,日本料理店での注文,,1年に1回,1年以内,80,80,80,80,80,,75,50,75,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,0,Yes,No,Yes,No,No,No,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,無回答,,月に1〜4回,0,0,,,女性,,白人,,,,教育関連,,,,口コミ,,日本料理店での注文,,1年に1回未満,3年以上前,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,0,Yes,Yes,Yes,Yes,Yes,No,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,サッポロビール,,月に1回以下,0,0,日本料理店,,女性,,混血,,29,6,弁護士,,$151~$200K,$151~$200K,酒類販売店,,友人からの勧め,,6か月に1回,6か月以内,70,60,80,90,100,100,0,50,100,100,100,,,,,1年に1回未満,3年以内,80,90,100,100,100,50,100,40,50,100,100,100,100,日本料理店,,友人からの勧め,,6か月に1回,6か月以内,30,20,50,50,50,0,50,70,0,70,50
67,0,Yes,No,Yes,No,No,No,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,サッポロビール,,月に1〜4回,0,0,オンラインサイト,,男性,,白人,,77,2,定年退職,,$0~$20K,$21~$40K,口コミ,,友人からの勧め,,1年に1回未満,3年以内,50,,60,60,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,0,Yes,No,Yes,No,No,No,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,サッポロビール,,週に4〜6回,20,0,酒類販売店（コンビニ含む）,,男性,,,,62,10,IT・ビジネス関連,,$21~$40K,$41~$60K,広告,,自ら購入,,6か月に1回,6か月以内,30,30,50,30,30,30,50,20,30,50,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,1,Yes,Yes,Yes,No,No,No,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,サッポロビール,,週に2〜3回,100,20,日本料理店,,男性,,白人,,36,1,宇宙関係,,$101~$150K,$101~$150K,日本料理店,,日本料理店での注文,,3か月に1回,1年以内,60,50,60,60,70,100,80,20,20,20,80,日本料理店,,日本料理店での注文,,月に1〜4回,2か月以内,80,60,90,70,90,100,90,20,40,50,50,50,80,,,,,,,,,,,,,,,,,
72,0,Yes,Yes,Yes,No,No,No,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,その他,,月に1〜4回,50,0,日本料理店,,男性,,白人,,28,2,エンジニアリング,,$81~$100K,$101~$150K,酒類販売店,,友人からの勧め,,1年に1回未満,1年以内,50,50,20,100,70,20,0,20,50,30,50,日本料理店,,友人からの勧め,,6か月に1回,6か月以内,90,50,80,100,100,100,80,50,80,90,50,100,90,,,,,,,,,,,,,,,,,
73,1,Yes,Yes,Yes,Yes,Yes,Yes,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,無回答,,週に2〜3回,100,20,,,男性,,白人,,41,4,IT・ビジネス関連,,$301K~,$301K~,日本料理店,,,,3か月に1回,1か月以内,100,50,100,100,100,100,100,75,75,100,100,日本に関するイベント,,,,月に1〜4回,1か月以内,100,50,90,95,100,100,100,100,70,100,75,100,85,,,,,3か月に1回,1か月以内,90,50,90,90,85,100,100,100,90,100,90
74,0,Yes,Yes,Yes,No,No,No,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,その他,,毎日,0,0,日本料理店,,男性,,白人,,56,4,教育関連,,$0~$20K,$0~$20K,日本料理店,,自ら購入,,6か月に1回,1年以内,30,30,30,30,30,20,20,20,20,20,20,日本料理店,,自ら購入,,3か月に1回,6か月以内,40,50,50,50,50,50,50,50,50,50,50,50,50,,,,,,,,,,,,,,,,,
75,0,Yes,Yes,Yes,Yes,Yes,No,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,無回答,,週に4〜6回,200,0,日本料理店,,女性,,白人,,55,1,メディア,,$61~$80K,$61~$80K,,,日本料理店での注文,,1年に1回未満,3年以上前,50,50,50,70,60,20,100,70,100,100,100,,,,,6か月に1回,2か月以内,100,90,100,100,100,100,100,100,90,100,90,100,100,,,,,,,,,,,,,,,,,
76,0,Yes,Yes,No,No,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,チョウヤ梅酒,,月に1〜4回,50,0,日本料理店,,女性,,アジア人,,22,4,学生,,$0~$20K,$41~$60K,,,,,,,,,,,,,,,,,,,,,,3か月に1回,6か月以内,70,100,80,100,50,50,0,70,70,100,50,50,50,,,,,,,,,,,,,,,,,
77,0,Yes,Yes,Yes,Yes,Yes,No,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,サッポロビール,,,,,,,男性,,白人,,29,2,求職者,,,,日本料理店,,友人からの勧め,,1年に1回,2か月以内,100,100,100,100,100,100,30,90,60,100,40,日本料理店,,友人からの勧め,,1年に1回,6か月以内,100,100,100,100,80,100,50,90,50,100,,50,100,,,,,,,,,,,,,,,,,
78,0,Yes,Yes,Yes,No,No,Yes,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,無回答,,月に1回以下,0,0,酒類販売店（コンビニ含む）,,男性,,アジア人,,22,5,学生,,$0~$20K,$41~$60K,日本料理店,,日本料理店での注文,,1年に1回未満,1年以内,90,90,90,90,90,90,95,90,90,90,90,日本料理店,,日本料理店での注文,,1年に1回未満,1年以内,90,90,90,90,95,95,90,90,90,95,90,90,90,,,,,,,,,,,,,,,,,
79,0,Yes,No,Yes,No,No,No,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,アサヒビール,,月に1回以下,20,5,酒類販売店（コンビニ含む）,,女性,,アジア人,,21,1,医療関係,,$0~$20K,$0~$20K,,,,,1年に1回,3年以内,75,70,80,80,100,100,0,70,20,100,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,0,Yes,No,Yes,No,No,No,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,サッポロビール,,週に2〜3回,90,0,日本料理店,,男性,,白人,,65,2,教育関連,,$61~$80K,$61~$80K,,,日本料理店での注文,,6か月に1回,1年以内,80,30,80,85,75,90,0,90,0,95,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,0,Yes,No,Yes,No,No,No,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,キリンビール,,週に2〜3回,70,0,日本料理店,,男性,,白人,,63,1,建設業,,$61~$80K,$61~$80K,日本料理店,,日本料理店での注文,,3か月に1回,6か月以内,70,70,70,80,80,30,0,75,0,75,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,0,Yes,Yes,No,No,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,獺祭,,週に2〜3回,50,0,酒類販売店（コンビニ含む）,,男性,,白人,,27,2,宿泊業・飲食サービス,,$0~$20K,$21~$40K,,,,,,,,,,,,,,,,,,口コミ,,友人からの勧め,,1年に1回未満,3年以上前,75,75,75,75,75,,0,100,50,100,0,50,100,,,,,,,,,,,,,,,,,
85,0,Yes,Yes,No,No,No,No,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,獺祭,,月に1回以下,20,0,,,男性,,白人,,28,2,教育関連,,,,,,,,,,,,,,,,,,,,,,,,,1年に1回未満,3年以内,50,50,50,50,50,0,,,,,,,,,,,,,,,,,,,,,,,,
87,0,Yes,Yes,Yes,No,No,No,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,無回答,,週に2〜3回,200,0,日本料理店,,女性,,ヒスパニック,,24,4,IT・ビジネス関連,,$101~$150K,$101~$150K,日本料理店,,自ら購入,,3か月に1回,1か月以内,100,100,100,100,100,100,,,,100,,日本料理店,,,,3か月に1回,1か月以内,80,,,50,100,100,100,0,50,100,80,100,100,,,,,,,,,,,,,,,,,
88,0,Yes,Yes,Yes,No,Yes,No,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,無回答,,,,,,,男性,,,,,,,,,,日本料理店,,,,3か月に1回,6か月以内,60,60,60,60,60,60,80,50,40,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,0,Yes,Yes,Yes,No,No,No,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,サッポロビール,,月に1回以下,67,12,日本料理店,,男性,,白人,,42,3,フリーランス,,$301K~,$301K~,,,日本料理店での注文,,6か月に1回,3年以上前,70,50,70,75,75,50,90,30,20,60,80,日本料理店,,,,1年に1回未満,3年以上前,80,70,75,80,80,60,80,20,30,40,20,75,75,,,,,,,,,,,,,,,,,
91,0,Yes,Yes,Yes,No,No,No,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,無回答,,毎日,100,5,日本料理店,,男性,,白人,,42,4,教育関連,,$21~$40K,$151~$200K,日本料理店,,日本料理店での注文,,月に1〜4回,2か月以内,80,80,80,80,80,80,70,60,50,70,80,日本料理店,,,,3か月に1回,6か月以内,30,80,30,40,40,40,30,40,30,30,20,30,30,,,,,,,,,,,,,,,,,
92,0,,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,無回答,,,,,,,男性,,白人,,42,4,IT・ビジネス関連,,$41~$60K,$41~$60K,日本料理店,,自ら購入,,3か月に1回,2か月以内,80,100,80,100,80,50,50,50,50,50,50,日本料理店,,自ら購入,,3か月に1回,1か月以内,100,100,100,100,100,100,100,80,80,80,60,70,100,,,,,,,,,,,,,,,,,
93,0,Yes,No,Yes,No,No,Yes,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,サッポロビール,,週に4〜6回,300,10,日本料理店,,女性,,白人,,24,1,教育関連,,$0~$20K,$0~$20K,,,日本料理店での注文,,3か月に1回,2か月以内,70,70,70,90,90,70,90,90,90,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,0,Yes,No,Yes,No,No,No,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,キリンビール,,月に1〜4回,,,,,女性,,白人,,48,3,その他,,$151~$200K,$151~$200K,日本料理店,,自ら購入,,1年に1回未満,3年以上前,90,90,90,90,90,10,90,10,10,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,0,,No,No,No,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,無回答,,,,,,,,,,,,,,,,,日本料理店,,日本料理店での注文,,6か月に1回,6か月以内,75,60,75,50,80,80,40,60,20,60,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,0,Yes,Yes,Yes,Yes,No,No,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,響,,週に2〜3回,70,3,日本料理店,,男性,,ヒスパニック,,26,1,医療関係,,$0~$20K,$21~$40K,,,,,3か月に1回,2か月以内,70,70,60,90,100,100,30,50,20,70,20,,,自ら購入,,6か月に1回,6か月以内,70,70,70,70,100,100,100,100,70,70,80,70,70,,,,,6か月に1回,2か月以内,90,60,90,80,100,100,30,60,50,70,80
98,0,Yes,No,Yes,No,Yes,No,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,無回答,,週に2〜3回,200,0,日本料理店,,女性,,アジア人,,20,3,金融・保険,,$41~$60K,$41~$60K,,,その他,,1年に1回,3年以内,60,30,70,60,20,30,80,70,0,50,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,0,Yes,Yes,No,No,No,Yes,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,獺祭,,週に2〜3回,100,0,その他,friend,女性,,白人,,22,4,医療関係,,$41~$60K,$41~$60K,,,,,,,,,,,,,,,,,,口コミ,,友人からの勧め,,1年に1回,1年以内,70,70,70,80,,90,90,100,80,90,70,80,80,,,,,,,,,,,,,,,,,
100,0,Yes,Yes,Yes,No,No,No,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,無回答,,週に2〜3回,50,10,日本料理店,,女性,,白人,,23,5,医療関係,,$0~$20K,$21~$40K,,,,,,,,,,,,,,,,,,,,,,3か月に1回,6か月以内,80,60,80,80,90,80,70,80,60,80,60,70,80,,,,,,,,,,,,,,,,,
101,0,Yes,No,Yes,Yes,Yes,Yes,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,獺祭,,週に4〜6回,4,4,日本料理店,,,,,,,,,,,,日本料理店,,自ら購入,,週に2〜3回,1か月以内,75,60,50,70,80,,,,,,,,,,,,,,,,,,,,,,,,,,広告,,家族からの勧め,,週に2〜3回,6か月以内,,,,,,,,,,,
102,0,Yes,Yes,Yes,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,アサヒビール,,月に1回以下,0,0,日本料理店,,男性,,白人,,42,2,金融・保険,,$41~$60K,$81~$100K,その他,Vending machine in Japan,自ら購入,,1年に1回未満,3年以上前,90,90,100,90,90,60,60,60,40,50,60,日本料理店,,日本料理店での注文,,1年に1回未満,3年以上前,80,60,90,70,70,50,50,70,40,60,50,60,60,,,,,,,,,,,,,,,,,
103,0,Yes,Yes,Yes,No,No,No,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,サッポロビール,,週に2〜3回,100,10,日本料理店,,男性,,白人,,33,4,IT・ビジネス関連,,$151~$200K,$151~$200K,日本料理店,,自ら購入,,月に1〜4回,1か月以内,80,80,80,70,80,90,90,50,20,60,70,日本料理店,,友人からの勧め,,1年に1回,3年以内,70,60,70,70,50,45,70,30,50,50,50,50,60,,,,,,,,,,,,,,,,,
104,1,Yes,Yes,Yes,No,No,No,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,その他,豐の梅,月に1〜4回,50,25,その他,Uwajimaya ,女性,,アジア人,,28,5,アート,,$0~$20K,,日本料理店,,家族からの勧め,,月に1〜4回,1か月以内,95,90,95,95,95,95,80,95,70,90,80,口コミ,,友人からの勧め,,月に1〜4回,1か月以内,95,90,99,96,95,90,80,95,70,80,70,85,90,,,,,,,,,,,,,,,,,
105,1,Yes,Yes,No,Yes,No,No,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,山崎,,月に1〜4回,50,30,酒類販売店（コンビニ含む）,,男性,,アジア人,,27,4,IT・ビジネス関連,,$151~$200K,$151~$200K,,,,,,,,,,,,,,,,,,酒類販売店,,友人からの勧め,,3か月に1回,1か月以内,95,90,95,95,90,95,95,85,95,90,85,90,90,,,,,,,,,,,,,,,,,
106,0,Yes,Yes,Yes,No,No,No,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,十四代,,月に1〜4回,25,0,日本料理店,,女性,,アジア人,,33,2,法,,$41~$60K,$101~$150K,日本料理店,,自ら購入,,1年に1回未満,3年以上前,50,50,50,50,75,50,40,40,25,25,25,日本料理店,,自ら購入,,1年に1回,6か月以内,90,95,95,85,90,95,90,90,80,80,40,40,90,,,,,,,,,,,,,,,,,
107,0,Yes,Yes,Yes,No,No,No,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"
常陸野ネストビール",,週に2〜3回,100,0,日本料理店,,男性,,白人,,41,4,小売業,,$301K~,$301K~,日本料理店,,日本料理店での注文,,3か月に1回,6か月以内,80,80,90,90,86,95,85,75,80,85,90,日本料理店,,日本料理店での注文,,1年に1回未満,3年以内,70,60,80,80,80,80,80,60,20,40,50,70,90,,,,,,,,,,,,,,,,,
108,0,Yes,Yes,Yes,No,No,No,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,サッポロビール,,週に4〜6回,40,2,日本料理店,,女性,,白人,,27,,医療関係,,,,日本料理店,,自ら購入,,3か月に1回,2か月以内,80,70,80,80,90,90,60,65,65,65,79,日本料理店,,自ら購入,,3か月に1回,2か月以内,85,80,90,90,90,100,80,60,70,70,60,65,70,,,,,,,,,,,,,,,,,
109,0,Yes,Yes,Yes,No,No,No,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,サッポロビール,,月に1〜4回,25,10,日本料理店,,男性,,ヒスパニック,,26,5,NPO,,$61~$80K,$61~$80K,日本料理店,,日本料理店での注文,,6か月に1回,6か月以内,100,80,90,90,100,100,0,70,60,80,80,日本料理店,,日本料理店での注文,,1年に1回,1年以内,80,60,85,90,99,100,100,100,80,60,0,70,90,,,,,,,,,,,,,,,,,
110,0,Yes,Yes,Yes,No,No,Yes,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,サッポロビール,,週に2〜3回,25,2,日本料理店,,女性,,白人,,29,2,NPO,,$61~$80K,$101~$150K,酒類販売店,,自ら購入,,3か月に1回,1か月以内,100,80,100,100,100,80,20,80,50,80,80,日本料理店,,日本料理店での注文,,3か月に1回,2か月以内,80,50,80,80,80,80,100,100,30,30,100,50,100,,,,,,,,,,,,,,,,,
111,0,Yes,Yes,Yes,No,No,No,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,キリンビール,,毎日,210,0,,,女性,,白人,,25,4,法,,$61~$80K,$61~$80K,広告,,家族からの勧め,,6か月に1回,6か月以内,90,90,90,90,95,100,100,100,70,90,90,口コミ,,日本料理店での注文,,3か月に1回,6か月以内,80,90,80,85,85,100,75,85,70,90,70,90,90,,,,,,,,,,,,,,,,,
112,0,Yes,Yes,Yes,No,No,No,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,サッポロビール,,週に2〜3回,80,5,日本料理店,,男性,,白人,,34,2,IT・ビジネス関連,,$81~$100K,$101~$150K,日本料理店,,自ら購入,,3か月に1回,2か月以内,80,70,70,80,80,80,60,40,30,60,70,日本料理店,,自ら購入,,1年に1回未満,3年以内,50,70,90,79,60,60,60,70,70,40,30,70,80,,,,,,,,,,,,,,,,,
113,0,Yes,Yes,Yes,No,No,No,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,上善如水,,週に4〜6回,30,10,日本料理店,,女性,,アジア人,,23,3,宿泊業・飲食サービス,,$21~$40K,$81~$100K,日本料理店,,家族からの勧め,,週に2〜3回,6か月以内,70,50,55,20,50,50,50,90,100,50,50,日本料理店,,友人からの勧め,,3か月に1回,1か月以内,91,80,93,69,80,100,90,85,80,90,100,80,90,,,,,,,,,,,,,,,,,
114,1,Yes,Yes,Yes,No,No,No,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,サッポロビール,,週に2〜3回,250,25,日本料理店,,女性,,白人,,26,4,医療関係,,$61~$80K,$101~$150K,日本料理店,,日本料理店での注文,,3か月に1回,1か月以内,90,90,90,90,80,100,70,70,60,0,90,日本料理店,,友人からの勧め,,6か月に1回,2か月以内,80,80,80,80,80,80,70,80,80,70,0,60,60,,,,,,,,,,,,,,,,,
115,0,Yes,Yes,No,No,No,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,十四代,,月に1回以下,90,0,日本料理店,,女性,,白人,,23,7,医療関係,,$0~$20K,$0~$20K,,,,,,,,,,,,,,,,,,日本料理店,,友人からの勧め,,1年に1回未満,1年以内,45,90,56,67,87,15,43,43,67,66,35,49,78,,,,,,,,,,,,,,,,,
116,0,Yes,Yes,Yes,No,No,No,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,アサヒビール,,月に1回以下,10,0,日本料理店,,男性,,アジア人,,38,3,IT・ビジネス関連,,$151~$200K,$151~$200K,ウェブサイト,,自ら購入,,1年に1回未満,3年以上前,90,70,90,90,90,90,90,90,0,90,90,日本料理店,,自ら購入,,1年に1回未満,3年以上前,75,75,75,75,75,75,75,75,75,75,75,75,75,,,,,,,,,,,,,,,,,
117,0,Yes,Yes,No,No,No,No,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,十四代,,週に2〜3回,110,0,日本料理店,,男性,,白人,,26,5,教育関連,,$21~$40K,$21~$40K,,,,,,,,,,,,,,,,,,口コミ,,家族からの勧め,,3か月に1回,2か月以内,90,90,90,90,100,100,90,90,100,100,90,100,100,,,,,,,,,,,,,,,,,
118,0,Yes,Yes,Yes,No,No,No,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,アサヒビール,,月に1回以下,75,10,日本料理店,,女性,,白人,,32,2,IT・ビジネス関連,,$101~$150K,$201~$250K,日本料理店,,日本料理店での注文,,6か月に1回,6か月以内,100,50,75,100,100,100,100,0,0,50,50,日本料理店,,家族からの勧め,,1年に1回未満,1年以内,50,75,75,75,75,30,30,30,20,60,20,70,50,,,,,,,,,,,,,,,,,
119,0,Yes,Yes,Yes,Yes,No,No,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,響,,月に1〜4回,100,10,酒類販売店（コンビニ含む）,,男性,,ヒスパニック,,39,2,宿泊業・飲食サービス,,$81~$100K,$151~$200K,酒類販売店,,自ら購入,,3か月に1回,6か月以内,100,100,100,100,100,100,50,10,20,100,100,その他,Grocery store ,家族からの勧め,,6か月に1回,2か月以内,100,100,100,100,100,100,100,50,100,10,10,100,100,酒類販売店,,自ら購入,,6か月に1回,6か月以内,100,100,100,100,100,100,100,100,70,100,100
120,0,Yes,Yes,Yes,No,No,No,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,獺祭,,週に2〜3回,50,10,,,女性,,白人,,32,2,法,,$151~$200K,$151~$200K,日本料理店,,日本料理店での注文,,6か月に1回,6か月以内,40,50,60,50,40,25,0,30,0,50,50,日本料理店,,日本料理店での注文,,3か月に1回,2か月以内,70,50,90,70,90,100,0,90,60,80,40,60,40,,,,,,,,,,,,,,,,,
121,0,Yes,No,Yes,No,No,No,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,アサヒビール,,週に2〜3回,100,0,日本料理店,,男性,,白人,,35,1,運輸業,,$151~$200K,$151~$200K,その他,Traveling to japan,自ら購入,,1年に1回未満,3年以内,20,50,20,50,50,60,80,50,50,50,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,29,19,3,6,8,21,49,41,60,4,1,0,2,11,2,2,3,1,12,14,0,4,1,1,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,76.84285714,67.53731343,76.85714286,80.2173913,80.65714286,77.31343284,61.92537313,54.98507463,49.91044776,70.57352941,72.14925373,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,81.42857143,73.93442623,85.69354839,84.06349206,85.58064516,82.5,76.59016393,72.90322581,68.01612903,75.37704918,59,76.03225806,83.03225806,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,82.27272727,63.63636364,84.09090909,83,84.7,86.81818182,79.54545455,88.18181818,64.54545455,83.18181818,74.54545455
